Timestamp,TA,TA SET,Sensitivity,Window_Size,Motion,Pivot,Boost,Notes,Pattern
11:50:28.814662,3.10478,3.167,3.476,0.288,0,2.000,0,USER_TA_RESET to 3.167,LONG FALL
11:50:28.830017,3.10512,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.845280,3.10547,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.860502,3.10581,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.875658,3.10598,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.890828,3.10615,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.911056,3.10650,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.926262,3.10667,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.941456,3.10684,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.961690,3.10718,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.976866,3.10736,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:28.992046,3.10753,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.012280,3.10770,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.027438,3.10787,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.042598,3.10787,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.057753,3.10804,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.072986,3.10804,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.093334,3.10804,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.113674,3.10822,3.167,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.131629,3.10822,3.108,3.476,0.288,0,2.000,0,CALIB_START,LONG FALL
11:50:29.151831,3.10804,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.175417,3.10787,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.192815,3.10787,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.213024,3.10770,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.233600,3.10753,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.248754,3.10736,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.264079,3.10718,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.283247,3.10684,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.298715,3.10650,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.313854,3.10633,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.330954,3.10598,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.352788,3.10581,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.368018,3.10547,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.386266,3.10512,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.409640,3.10443,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.425535,3.10392,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.442960,3.10357,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.458386,3.10306,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.473552,3.10254,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.489885,3.10185,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.510394,3.10134,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.526269,3.10047,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.541418,3.09961,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.557303,3.09892,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.573376,3.09806,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.594093,3.09720,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.609250,3.09634,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.626605,3.09547,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.645995,3.09461,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.661328,3.09392,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.676483,3.09306,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.693884,3.09236,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.710171,3.09167,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.725738,3.09081,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.750932,3.09029,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.766544,3.08960,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.781912,3.08891,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.798558,3.08821,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.816422,3.08769,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.837981,3.08700,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.853632,3.08648,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.869189,3.08579,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.886329,3.08527,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.905815,3.08492,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.920973,3.08440,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.936126,3.08406,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.953882,3.08371,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.971743,3.08319,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:29.986925,3.08284,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.002348,3.08232,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.017485,3.08198,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.032906,3.08163,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.053190,3.08128,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.068605,3.08093,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.083803,3.08059,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.099430,3.08024,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.119523,3.07989,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.134933,3.07972,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.150074,3.07937,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.165984,3.07920,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.182454,3.07902,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.197704,3.07868,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.212982,3.07868,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.228249,3.07850,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.244300,3.07833,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.259825,3.07833,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.274969,3.07816,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.295107,3.07816,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.316247,3.07816,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.332959,3.07816,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.348096,3.07816,3.108,3.476,0.288,0,2.000,0,,LONG FALL
11:50:30.363943,3.07833,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.379255,3.07833,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.395695,3.07833,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.410837,3.07850,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.429296,3.07850,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.450015,3.07868,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.465512,3.07868,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.481471,3.07885,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.498582,3.07902,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.514329,3.07920,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.530796,3.07937,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.547779,3.07955,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.562966,3.07989,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.578137,3.08007,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.595053,3.08024,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.610392,3.08059,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.627380,3.08076,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.644877,3.08111,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.669734,3.08146,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.691799,3.08198,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.713118,3.08232,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.728375,3.08250,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.743973,3.08284,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.764928,3.08319,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.780337,3.08354,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.795487,3.08388,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.810665,3.08440,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.830110,3.08475,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.848358,3.08510,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.866243,3.08562,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.885648,3.08614,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.907521,3.08648,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.924077,3.08700,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.939239,3.08735,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.956019,3.08769,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.983069,3.08839,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:30.998356,3.08873,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.013522,3.08908,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.030095,3.08943,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.046253,3.08994,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.062993,3.09029,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.078148,3.09064,3.108,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.096568,3.09115,3.091,3.476,0.288,0,2.000,0,USER_TA_RESET to 3.091,SHORT FALL
11:50:31.118035,3.09150,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.134519,3.09185,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.149705,3.09236,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.167236,3.09271,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.184168,3.09323,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.199516,3.09357,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.214673,3.09392,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.229877,3.09426,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.246312,3.09461,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.262838,3.09496,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.278010,3.09530,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.293501,3.09565,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.313669,3.09599,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.329648,3.09634,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.346593,3.09651,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.362050,3.09668,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.377264,3.09703,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.394395,3.09703,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.411440,3.09720,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.426615,3.09737,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.442511,3.09754,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.458854,3.09772,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.474277,3.09772,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.489433,3.09789,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.511259,3.09806,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.528254,3.09823,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.543456,3.09823,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.560197,3.09841,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:31.579167,3.09858,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.596209,3.09875,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.613612,3.09910,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.628765,3.09927,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.643925,3.09961,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.659507,3.09978,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.674900,3.09996,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.690072,3.10013,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.711606,3.10047,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.729795,3.10065,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.744967,3.10082,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.760286,3.10099,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.776688,3.10116,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.797272,3.10116,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.813390,3.10134,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.829048,3.10134,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.844768,3.10134,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.861720,3.10116,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.887078,3.10082,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.905836,3.09978,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.920966,3.09806,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.936661,3.09444,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.952443,3.08839,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.969375,3.08007,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:31.984804,3.06963,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:32.000075,3.05670,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:32.017525,3.04283,3.091,3.476,0.288,0,2.000,0,SQUEEZE_1_DROP,SHORT RISE
11:50:32.033235,3.02871,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:32.049869,3.01540,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:32.065392,3.00346,3.091,3.476,0.288,0,2.000,0,,SHORT RISE
11:50:32.080823,2.99308,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:32.100119,2.98356,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:32.117129,2.97509,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:32.132266,2.96804,3.091,3.476,0.288,0,2.000,0,,SHORT FALL
11:50:32.147894,2.96152,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.163027,2.95425,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.179230,2.94642,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.194453,2.93875,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.209662,2.93197,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.225182,2.92591,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.242245,2.92076,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.259260,2.91634,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.274426,2.91191,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
11:50:32.290133,2.90729,3.091,3.476,0.288,0,2.000,0,,BLOWDOWN
