Abs_Time,Rel_Time,Raw_24bit,Quality,Headset,Delta,Theta,Alpha,Beta,Gamma,Calm_Score
18:09:35.753297,0.0663,-1133591,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.756630,0.0696,-1134962,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.759963,0.0730,-1136405,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.763297,0.0763,-1135277,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.766630,0.0796,-1133565,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.769963,0.0830,-1132751,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.773297,0.0863,-1134976,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.776630,0.0896,-1136636,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.779963,0.0930,-1135246,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.783297,0.0963,-1132879,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.786630,0.0996,-1130854,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.789963,0.1030,-1132064,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.793297,0.1063,-1133873,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.796630,0.1096,-1132922,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.799963,0.1130,-1130649,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.803297,0.1163,-1128634,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.806630,0.1196,-1130030,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.809963,0.1230,-1131605,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.813297,0.1263,-1130531,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.816630,0.1296,-1128182,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.819963,0.1330,-1125641,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.823297,0.1363,-1126338,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.826630,0.1396,-1126975,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.829963,0.1430,-1125467,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.833297,0.1463,-1123634,1,1,68.10,19.99,7.53,2.93,1.45,58
18:09:35.836630,0.1496,-1122222,1,1,68.10,19.99,7.53,2.93,1.45,58
